µÁ—π(V),x÷·(s)
-0.2,0.571485743
-0.2,0.572286143
-0.2,0.573086543
-0.2,0.573886944
-0.2,0.574687344
-0.2,0.575487744
-0.2,0.576288144
-0.2,0.577088544
-0.2,0.577888945
-0.2,0.578689345
-0.2,0.579489745
-0.2,0.580290145
-0.2,0.581090545
-0.2,0.581890946
-0.2,0.582691346
-0.2,0.583491746
-0.2,0.584292146
-0.2,0.585092546
-0.2,0.585892947
-0.2,0.586693347
-0.2,0.587493747
-0.2,0.588294147
0.2,0.589094547
-0.2,0.589894948
-0.2,0.590695348
-0.2,0.591495748
-0.2,0.592296148
0.2,0.593096548
-0.2,0.593896949
-0.6,0.594697349
-0.2,0.595497749
-0.2,0.596298149
-0.2,0.597098549
-0.2,0.59789895
-0.2,0.59869935
-0.2,0.59949975
-0.2,0.60030015
0.2,0.60110055
-0.2,0.601900951
-0.2,0.602701351
-0.2,0.603501751
-0.2,0.604302151
-0.2,0.605102551
-0.2,0.605902952
-0.2,0.606703352
-0.2,0.607503752
-0.2,0.608304152
-0.2,0.609104552
-0.2,0.609904953
-0.2,0.610705353
-0.2,0.611505753
-0.2,0.612306153
-0.2,0.613106553
-0.2,0.613906954
-0.2,0.614707354
-0.2,0.615507754
-0.2,0.616308154
-0.2,0.617108554
-0.2,0.617908955
-0.2,0.618709355
-0.2,0.619509755
-0.2,0.620310155
-0.2,0.621110555
-0.2,0.621910956
-0.2,0.622711356
-0.2,0.623511756
-0.2,0.624312156
0.2,0.625112556
-0.2,0.625912957
-0.2,0.626713357
-0.2,0.627513757
-0.2,0.628314157
-0.2,0.629114557
-0.2,0.629914958
-0.2,0.630715358
-0.2,0.631515758
-0.2,0.632316158
-0.2,0.633116558
-0.2,0.633916959
-0.2,0.634717359
-0.2,0.635517759
-0.2,0.636318159
-0.6,0.637118559
-0.2,0.63791896
-0.2,0.63871936
-0.2,0.63951976
-0.2,0.64032016
-0.2,0.64112056
-0.2,0.641920961
-0.2,0.642721361
-0.2,0.643521761
-0.2,0.644322161
-0.2,0.645122561
-0.2,0.645922962
-0.2,0.646723362
-0.2,0.647523762
-0.2,0.648324162
-0.2,0.649124562
-0.2,0.649924963
-0.2,0.650725363
0.2,0.651525763
-0.2,0.652326163
-0.2,0.653126563
-0.2,0.653926964
-0.2,0.654727364
-0.2,0.655527764
-0.2,0.656328164
-0.2,0.657128564
-0.2,0.657928965
-0.2,0.658729365
