label,dominant frequency,central frequency,kurtosis,RMS,crest factor
OC6,1.875,219.6955220025771,5.074702064371901,3.6699820519409685,3.9257983202888305
OC6,1.875,208.75697809457608,2.699015473435769,4.240918454610413,3.5150979462465153
OC6,0.0,201.96985242915162,4.775474641025838,4.214849428662534,4.015881892457332
OC6,2.5,205.26368672713576,2.6049630136942965,5.13338314521115,2.6873511551284315
OC6,2.5,199.2712635339756,3.444160176693883,5.526220439223057,3.1568038122729436
OC6,2.5,193.16977288791023,2.1784563045957057,6.189501681813639,2.4725319438827147
OC6,0.0,205.06310554451264,3.1593787776210385,4.336475237290212,3.807047134279567
OC6,0.625,222.83432178029406,2.8744902667482353,3.511195199161268,2.9344637411389813
OC6,2.5,197.0344760263519,3.3752347182142377,5.1630613283306355,3.3662223620379605
OC6,0.625,185.51916907997483,4.342311787314906,4.688795389861464,3.6097871025888577
OC6,1.875,208.91512472903267,3.5982404049839682,4.339699652772969,3.7879032687195924
OC6,2.5,198.16237081659247,3.7589898425358435,4.958456960008264,3.064899422858896
OC6,1.875,196.25290092903458,3.0540687903079906,3.9831144254130013,4.3052962251321505
OC6,2.5,208.85763547412722,3.1962192680916486,4.167524866602564,4.042612351281427
OC6,2.5,204.85277126116148,3.733388272279201,5.253477399447238,3.282898747563789
OC6,0.0,224.9350900093749,6.182991421169562,2.7761910768229856,6.003857727644003
OC6,1.875,121.22232036126725,3.5903420327671807,12.20727159709011,2.4535731950241564
OC6,1.25,142.62788693628804,3.0344018104023864,12.943149735103491,1.9987667630728492
OC6,0.625,143.31938554559898,2.63707496332351,9.352510659542865,2.2620944546492603
OC6,0.0,197.83405876602984,3.236917289352052,4.235673166250538,3.826176793840331
OC6,0.625,211.53702635877372,2.631836341538457,3.769335957010378,2.707492809448162
OC6,2.5,206.43711619121498,2.674499040612959,4.865083838533132,3.361025070213423
OC6,2.5,204.22267635924666,3.017350538203766,5.164397314429474,2.7707661957028966
OC6,2.5,192.34645116107546,3.592197243680148,4.388113216154589,3.4774890421748013
OC6,0.625,196.4880495939678,3.8835924564898194,4.938486874874458,3.5310075366846645
OC6,1.25,209.59646927463677,2.8281687924416072,3.7430745327557635,3.2054698336894956
OC6,2.5,188.04410567155887,4.261119003053245,5.3623470322666345,3.4561522013554153
OC6,0.625,208.9530082481956,3.282674117236644,4.464598602509834,3.3563564631714287
OC6,2.5,200.71410881970414,2.5010337770271005,5.815936346983313,2.7764800518107076
OC6,2.5,209.61472988735753,3.3588772540466034,4.472337490085252,3.314646710554357
OC6,0.625,206.44714841752983,3.004681857803269,5.0077800220089514,3.2684199491721904
OC6,2.5,197.38817328629557,3.416585592437869,5.607406326939158,3.1347419555727036
OC6,1.875,203.61850474491138,2.680588334330532,4.787736421849499,3.4405729135015055
OC6,2.5,182.01516217905083,3.090763594044434,5.23144184418814,2.691202978895943
OC6,1.875,223.5823971760179,3.854422467344546,3.2841415996269236,5.009831755387482
OC6,2.5,203.1848132367218,3.378413923232427,4.685727087520437,3.713403821861854
OC6,2.5,101.0794333654151,2.0477449017722242,15.398028676212055,1.8564285874568243
OC6,1.875,104.64213006031252,2.0079711650159338,15.07430244854175,1.673345671291089
OC6,0.0,209.2004975141399,2.9137795612804025,4.690201169433538,2.330672284643228
OC6,2.5,203.6494301671731,3.11329164401428,4.063649657436575,4.2479163326518705
OC6,2.5,196.05416386428908,2.5620671987170995,4.958057667622192,2.775564605645212
OC6,1.875,202.30089114782146,4.35060492460513,4.350898142561795,3.9934419987983514
OC6,2.5,203.76342224572113,3.1681471022871577,4.881262007021535,3.2072200237316504
OC6,0.625,203.04071740645819,2.9620193592418635,4.154542428341164,3.976405864170273
OC6,2.5,194.12180744242522,3.032849578041043,6.137583918124749,2.9598470045115843
OC6,0.625,203.97233222989075,3.1521404834722824,5.055168083925933,3.136374446265061
OC6,2.5,228.74150264027747,3.4330067498291865,3.520726978699334,4.673531411140182
OC6,0.0,193.60423635669045,2.8569674672573293,4.725015309085966,3.133775560795884
